Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Taxonomic Authority,Taxonomic Notes,Endemic to Europe,Endemic to EU27,European regional Red List Category,European regional Red List Criteria,EU27 regional Red List Category,EU27 regional Red List Criteria,Rationale of the Red List Category,Population Trend,Range,Population,Habitat,Threats,Conservation Actions,Use and Trade,Red List Assessors,Red List Reviewers,Red List Contributors
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,danuvium,,,,-1,0,DD,,DD,,"Global and European regional assessment: Data Deficient (DD) EU 27 regional assessment: Data Deficient (DD)  Listed as Data Deficient as there is little or no information available on the population size, trends, habitat, ecology and threats to the species. Research should be conducted in order to determine the status of this species.",Unknown,"A species of steppes in central and south-eastern Europe, known only from a few localities. It has been found in the chalky hills of Vienna, Austria, and in the Učka mountain range in Istria, Croatia, southern Bosnia and Montenegro (Ebmer 1970, 1988). The extent of occurrence (EOO) is 1,337 km² and the area of occupancy (AOO) is 20 km².",A rare species only known from a few localities in Europe. There is no information available for the population size and trend of this species.,The species is found on steppic habitats. There is no further information available on the habitat and ecology of this species.,The threats to this species are unknown.,"The species is not listed in any National Red Lists or Red Data Books. It occurs in the Nature Park of Učka in Croatia. Further research should be conducted to determine the population size and trends, habitat and ecology, and threats to the species.",The species is not traded or exploited commercially.,"Nieto, A. & Michez, D.","Roberts, S. & García, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,debilior,,,,0,0,NA,,NA,,European regional assessment: Not Applicable (NA)EU 27 regional assessment: Not Applicable (NA)Listed as Not Applicable as there is only one record of this species in Europe and this is thought to constitute &lt;1% of it's global population. Therefore the species is Not Applicable for further assessment in Europe.,Unknown,"In Europe, the species is found only on the island of Crete, and there is a single record only. Outside of Europe the species is found in Israel, Lebanon, Asia Minor (Anatolia), and Iran (Ebmer 1972, 1995).",A very rare species with only one record from Crete. There is no further information available for the population size and trend of this species.,The species can be assumed to occur on Mediterranean-type shrubland as it has been found on the island of Crete. There is no further information available on the habitat and ecology of this species.,The threats to this species are unknown.,"The species is not listed in any National Red Lists or Red Data Books. It is unknown whether it occurs within any protected areas. Further research should be conducted to determine the population size and trends, habitat and ecology, and threats to the species.",The species is not traded or exploited commercially.,"Pauly, A. & Michez, D.","Roberts, S. & García, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,fratellum,,,,0,0,LC,,LC,,"European regional assessment: Least Concern (LC) EU 27 regional assessment: Least Concern (LC)  Listed as Least Concern as the species is widespread, the populations are common and stable, and there are no known major threats at the continental scale. However, research should be conducted to determine the population trends for the species.",Stable,"A boreo-alpine species that is found from western England east towards Bashkortostan, Russia, and as far north as 69°N in Finland and Sweden. Outside of Europe, the species is found in the Caucasus and China (Ebmer 1995, 1996). The extent of occurrence (EOO) is 7,133,488 km² and the area of occupancy (AOO) is 8,144 km².",The boreal population in the north is fragmented from the southern alpine population. The species is common and stable in both populations.,"The species occurs in boreal and alpine habitats such as tundra, heathlands and alpine meadows. The nests are rarely found, but the species has been observed nesting in small aggregations (G.M. Spooner pers. comm. 1989). In Dartmoor, Devon, J.P. Field (pers. comm. 2004) found aggregations of 20-30 nests in bare, near vertical faces of roadside edges. He has also encountered nest sites in semi-vertical banks in northeast England. The species is probably polylectic, with a number of plant species known to provide forage. In Germany it has been reported to collect Vaccinium myrtillus and V. vitis-idaea (Ericaceae) pollen (Westrich 1989) and Ebmer (1971) lists Arabis (Brassicaceae), Salix (Salicaceae), Vaccinium, Calluna (Ericaceae), Solidago and Tussilago (Asteraceae).Lasioglossum fratellum is univoltine (one generation per year) with an extended flight period. The females fly from mid-April to mid-October, while the males fly from early July to the beginning of October. The bee Sphecodes hyalinatus is a kleptoparasite of this species, in that it parasitises the nests of other bee species (Perkins 1923, 1945). On the continent, Sphecodes crassus is cited as a possible cleptoparasite of this species (Söderman and Leinonen 2003).",There are no known major threats to the species.,The species is not listed in any National Red Lists or Red Data Books. It occurs within protected areas in Europe. Further research should be conducted to determine the population trends of the species.,The species is not traded or exploited commercially.,"Pauly, A. & Michez, D.","Roberts, S. & García, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,fulvicorne,,,,0,0,LC,,LC,,"European regional assessment: Least Concern (LC) EU 27 regional assessment: Least Concern (LC)  Listed as Least Concern as the species is widespread, the populations are large and common, and there are no known major threats to the species at a continental scale. However, research should be conducted to determine the population trends and threats to the species.",Stable,"Lasioglossum fulvicorne is a transpalearctic species found from England to the Urals, and as far north as Sweden and Finland at 64°N. In the south of Europe, it is found in the mountains. Outside of Europe, the species is found from Turkey to Taiwan (Ebmer 1995, 2005). The extent of occurrence (EOO) is 4,034,431 km² and the area of occupancy (AOO) is 8,888 km².",A very common and stable species throughout much of its distribution. There is no further information available for the population size and trend of this species.,"A common species which is virtually ubiquitous in its choice of habitats: woodland edged, mobile sand dunes, bare grounds, Juniper heathland, orchards, river levees, old vineyards, sand and gravel pits, roadside verges, and many anthropogenic sites (Westrich 1989). In England the species is typically found in dry calcareous grasslands (S. Roberts pers. comm. 2014). Although sometimes locally abundant, nests are not easily located, suggesting that it does not usually nest in large aggregations. Westrich (1989) suggests that larger aggregations can be found occasionally. Lasioglossum fulvicorne is a polylectic species, in that it prefers to forage upon a wide range of flowering plants species, primarily on Tanacetum vulgare, Solidago canadensis, Cichorium intybus, Taraxacum officinale (Asteraceae); Brassica napus (Brassicaceae); Calluna vulgaris (Ericaceae); Potentilla verna, Potentilla reptans, Potentilla fruticosa, Malus domestica (Rosaceae); Salix sp. (Salicaceae) (Westrich 1989). Ebmer (1971) lists: Salix (Salicaceae); Potentilla (Rosaceae); Pastinaca (Apiaceae); Arabis (Brassicaceae); Ranunculus (Ranunculaceae); Ajuga, Mentha (Lamiaceae); Taraxacum, Solidago (Asteraceae); Pulmonaria (Boraginaceae); Globularia (Campanulaceae). Pawlikowski and Kruszynski (1997) list Potentilla argentea (Rosaceae) as a forage source in Poland. In Finland, it is reported to visit: Hieracium umbellatarum, Leontodon autumnalis (Asteraceae); Pimpinella saxifraga (Apiaceae), Succisa pratensis (Dipsacaceae) (Söderman and Leinonen 2003). L. fulvicorne is univoltine (one generation per year), with an extended flight period. The females fly from early April to mid-October while males fly from early July to mid-October. R.C.L. Perkins (1923) recorded the bees Sphecodes hyalinatus and S. ferruginatus as kleptoparasites of L.fulvicorne, bees that parasitise the nests of others, in England. Elsewhere in Europe, Sphecodes crassus is cited as a cleptoparasite (Söderman and Leinonen 2003).",There are no known major threats to the species.,The species is not listed in any National Red Lists or Red Data Books. It occurs within protected areas in Europe. Further research should be conducted to determine the population trends for the species to determine any population declines.,The species is not traded or exploited commercially.,"Pauly, A. & Michez, D.","Roberts, S. & García, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,glabriusculum,,,,0,0,LC,,LC,,"European regional assessment: Least Concern (LC) EU 27 regional assessment: Least Concern (LC)  Listed as Least Concern as the species is widespread, the populations are large and there are no known major threats at the continental scale. However, research should be conducted to determine the population trends and threats to the species.",Stable,"The species is found from Iberia to Greece and Ukraine in the east and as far north as Belgium and Germany. Outside of Europe, the species is found in Jordan, Iran, Morocco and Tunisia (Ebmer 1985, 1988). The extent of occurrence (EOO) is 3,322,425 km² and the area of occupancy (AOO) is 704 km².",A common and stable species that is probably expanding northwards (A. Pauly pers. comm. 2014). There is no further information available for the population size and trend of this species.,"An ubiquitous species that is known from gravel and clay pits, orchards, and dry grasslands in Germany (Westrich 1989) and it may inhabit steppic areas in the southeastern part of its distribution (Grace 2010). The species is eusocial (Knerer 1969). Lasioglossum glabriusculum is almost certainly a polylectic species, in that it prefers to forage upon a wide range of flowering plants species, although the details of its forage requirements are lacking (Westrich 1989). Ebmer (1971) lists the following plants as forage species: Achillea, Solidago (Asteraceae) and Mentha (Lamiaceae). The overwintering females emerge at the beginning of May (occasionally April) and fly to the beginning of October. The males emerge in August and September. The bee Nomada sheppardana is cited as a possible kleptoparasite of this species, in that is parasitises the nests of L. glabriusculum (Westrich 1989). Amiet et al. (2001) also cite Nomada posthuma as a possible kleptoparasite.",There are no known major threats to the species at a continental scale.,"This species is listed in the National Red List or Red Data Book of the Czech Republic (Vulnerable; Farkac et al. 2005) and Switzerland (Vulnerable; Amiet 1994). It is unknown whether it occurs within any protected areas, but given the wide extent of its range, it is very likely. Further research should be conducted to determine the population trends for the species.",The species is not traded or exploited commercially.,"Pauly, A. & Michez, D.","Roberts, S. & García, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,glaciegenitum,,,,0,0,DD,,DD,,"European regional assessment: Data Deficient (DD)EU 27 regional assessment: Data Deficient (DD)Listed as Data Deficient in view of the lack of information on the species' population size, trends, habitat, ecology and threats. Research should be conducted to assess the status of this species.",Unknown,"Lasioglossum glaciegenitum has only been recorded in Iran and Greece (Ebmer 1972, 1978). There is one record in Greece.The extent of occurrence (EOO) and the area of occupancy (AOO) is 4 km2.","Only one population is recorded in Greece and another in Iran, therefore its range is severely fragmented. The trend and size of this population is unknown.",The species is found in alpine grassland in Greece. There is no further information available on the ecology of this species.,The threats to this species are not known.,"The species is not listed in any National Red Lists or Red Data Books. Research should be conducted on the species’ population size, trends, distribution, habitat and ecology, and to ascertain if there are any threats to the species. It is unknown whether the species occurs in any protected areas.",The species is not traded or exploited commercially.,"Kemp, J.R., Michez, D., Nieto, A. & Pauly, A.","Roberts, S. & Scott, J.A.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,gorkiense,,,,0,0,NA,,NE,,European regional assessment: Not Applicable (NA)EU 27 regional assessment: Not Evaluated (NE)Listed as Not Applicable as there is only one record of this species in pan-Europe and this is thought to constitute &lt;1% of it's global population. Therefore the species is Not Applicable for further assessment in Europe.,Unknown,"Lasioglossum gorkiense is mainly distributed in eastern Palearctic region. There is one record from Belarus in Mahilyow, Gorki. It is also recorded in the eastern part of Russia, Manchouria, China (Shanxi province), Korea and Japan (Ebmer 1978, 1998).",There is no information available for the population size and trend of this species.,There is no information available on the habitat and ecology of this species.,The threats to this species are unknown.,"The species is not listed in any National Red Lists or Red Data Books. It is unknown whether it occurs within any protected areas. Further research should be conducted to determine the population size and trends, habitat and ecology, and threats to the species.",The species is not traded or exploited commercially.,"Pauly, A. & Michez, D.","Roberts, S. & García, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,kotschyi,,,,-1,0,DD,,DD,,"Listed as Data Deficient in view of the lack of information on the species' population size, trends, habitat, ecological requirements and threats. Research should be conducted to assess the population status of this species.",Unknown,Lasioglossum kotschyi is endemic to Cyprus. There is only one record of this species (Ebmer 1981).The extent of occurrence (EOO) and the area of occupancy (AOO) is 4 km2.,This species is rare. No further information is available for either the population size or trend of this species.,There is no information available on the habitat and ecology of this species.,The threats to this species are not known.,"The species does not occur in any National Red Lists or Red Data Books. Research should be conducted on the species’ population size, trends, distribution, habitat and ecology, and to ascertain if there are any threats to the species. It is unknown whether the species occurs in any protected areas.",The species is not traded or exploited commercially.,"Kemp, J.R., Michez, D., Nieto, A. & Pauly, A.","Roberts, S. & Scott, J.A.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,kussariense,,,,0,-1,DD,,DD,,"European regional assessment: Data Deficient (DD)EU 27 regional assessment: Data Deficient (DD)  Listed as Data Deficient in view of the lack of information on the species' population size, trends, habitat, ecology and threats. Research should be conducted to assess the population status of this species.",Unknown,"Lasioglossum kussariense is distributed around the Black Sea and the range extends to the north of Italy. It has been recorded in Croatia, Hungary, Romania, Switzerland and Macedonia (Ebmer 1988). Outside of Europe, it is found in the Caucasus.The extent of occurrence (EOO) is 308,865 km² and the area of occupancy (AOO) is 28 km².",This species is rare and has a disjunct distribution. No further information is available for the population size or trend of this species.,There is no information available on the habitat or ecology of this species.,The threats to this species are not known.,"The species is not listed in any National Red Lists or Red Data Books. Research should be conducted on the species’ population size, trends, distribution, habitat and ecology, and to ascertain if there are any threats to the species. It is unknown whether the species occurs in any protected areas.",The species is not traded or exploited commercially.,"Kemp, J.R., Michez, D., Nieto, A. & Pauly, A.","Roberts, S. & Scott, J.A.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MELITTIDAE,Melitta,melanura,,,,0,0,EN,"B2ab(ii,v)",EN,"B2ab(ii,v)","European regional assessment: Endangered (EN) B2ab(ii,v)EU 27 regional assessment: Endangered (EN) B2ab(ii,v)  Listed as Endangered because its area of occupancy (AOO) is very small (64 km²), its distribution is severely fragmented, and there is a continuing decline in the AOO of the species and in the number of mature individuals.    ",Decreasing,"Melitta melanura has a very widespread but fragmented distribution from Siberia to Germany (Warncke 1973, Michez and Eardley 2007). The extent of occurrence (EOO) is 3,462,055 km² and the area of occupancy (AOO) is 64 km².",Records are very rare and populations seem isolated. Main part of the recorded populations are present in Ukraine where they are declining. This species is considered threatened in Ukraine.,Melitta melanura lives in temperate grassland vegetation. Females forage on pollen of Campanulaceae (Michez et al. 2008).,The threats to this species are unknown.,"Melitta melanura is considered as Vulnerable in Lithuania (Rašomavičius 2007), Endangered in Ukraine (Monchenko et al. 2009), Critically Endangered in Sweden (Gärdenfors 2010) and Extinct in Germany (Westrich et al. 2008).   There appear to be no direct conservation measures in place, and it is not known if the species is present within any protected areas. Further studies are needed into the abundance and threats to this species. It is necessary to create natural reserves in locations of their isolated populations and to protect the host-plants (Campanulaceae) (Monchenko et al. 2009).",This species is not utilized.,"Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MELITTIDAE,Melitta,murciana,,,,-1,-1,DD,,DD,,"Listed as Data Deficient because of the absence of information on the population size and trend, and threats affecting the species. However, the species has a restricted distribution with an area of occupancy (AOO) of 48 km².",Unknown,"Melitta murciana is endemic to Spain. Populations are recorded along the Mediterranean coast (Warncke 1973, Michez and Eardley 2007). The extent of occurrence (EOO) is 50,661 km² and the area of occupancy (AOO) is 48 km².",There appears to be no information available on the population abundance of this species but the species is rare. The current population trend is unknown.,Melitta murciana lives in Mediterranean-type shrubby vegetation. Females forage on pollen of Fabaceae (Michez et al. 2008).,The threats to this species are unknown.,"There appear to be no direct conservation measures in place, and it is not known if the species is present within any protected areas. Further studies are needed into the abundance, ecology, and threats to this poorly-known species.",This species is not utilized.,"Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MELITTIDAE,Melitta,nigricans,,,,0,0,LC,,LC,,"European regional assessment: Least Concern (LC)EU 27 regional assessment: Least Concern (LC) Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats, presumed large population, and no past or future threats.",Stable,"Melitta nigricans is a common species distributed across much of Europe but its range does not extend to northernmost parts of the continent (Warncke 1973, Michez and Eardley 2007). This species is not recorded in Fenno-Scandinavia. The extent of occurrence (EOO) is 4,947,442 km² and the area of occupancy (AOO) is 1,092 km².","The species is common and the current population trend of this species is stable, although in some parts of its distribution the species is declining.","Melitta nigricans lives in a number of temperate habitats which support strong populations of its pollen host-plant, Lythrum salicaria. Suitable habitats include river banks and ditches. Females nest in the soil.",There appear to be no major threats affecting this species.,Melitta nigricans is considered as Vulnerable in the Czech Republic (Farkac et al. 2005) and Endangered in Slovenia (Anonymous 2002) and Switzerland (Amiet 1994).  No direct conservation measures are currently needed for this species as a whole. The species occurs in protected areas.,This species is not utilized.,"Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MELITTIDAE,Melitta,schmiedeknechti,,,,0,0,DD,,DD,,"European regional assessment: Data Deficient (DD)EU 27 regional assessment: Data Deficient (DD)Listed   as Data Deficient in view of the absence of information about the   population size and trend and the threats affecting the species. However,   the species has a restricted distribution in Europe with an area of occupancy (AOO) of   20 km².",Unknown,"Melitta schmiedeknechti is present in all north African countries and in Israel (Warncke 1973, Michez and Eardley 2007). In Europe it only occurs in the Canary Island of Fuerteventura. The extent of occurrence (EOO) is 169 km² and the area of occupancy (AOO) is 20 km².",There appears to be no information available on the population abundance of this species but the species is rare. The current population trend is unknown.,Melitta schmiedeknechti lives in Mediterranean-type shrubby vegetation. The main host-plants are from the family Resedaceae (Michez et al. 2008).,The threats to this species are unknown.,"There appear to be no direct conservation measures in place, and it is not known if the species is present within any protected areas. Further studies are needed into the abundance and threats to this species.",This species is not utilized.,"Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MELITTIDAE,Melitta,seitzi,,,,-1,-1,DD,,DD,,"Listed as Data Deficient in view of the absence of information about the population size and trend and the threats affecting the species. However, the species has a restricted distribution with an area of occupancy (AOO) of 44 km².",Unknown,"Melitta seitzi is endemic to Spain. Populations are recorded north of Madrid (Warncke 1973, Michez and Eardley 2007). The extent of occurrence (EOO) is 81,219 km² and the area of occupancy (AOO) is 44 km².",There appears to be no information available on the population abundance of this species but the species is rare. The current population trend is unknown.,Melitta seitzi lives in Mediterranean-type shrubby vegetation. There is no information available about the ecology of this species.,The threats to this species are unknown.,"There appear to be no direct conservation measures in place, and it is not known if the species is present within any protected areas. Further studies are needed into the abundance, ecology, and threats to this poorly-known species.",This species is not utilized.,"Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MELITTIDAE,Melitta,tomentosa,,,,-1,0,DD,,DD,,"Global and European regional assessment: Data Deficient (DD) EU 27 regional assessment: Data Deficient (DD)  Listed    as Data Deficient in view of the absence of information about  the    population size and trend and the threats affecting the species.  However,    the species has a very restricted distribution with an area of occupancy (AOO) of 24 km².",Unknown,"Melitta tomentosa shows a very narrow distribution. It is mainly recorded from the region of Istria, close to the borders of Slovenia, Italy and Croatia (Warncke 1973, Michez and Eardley 2007). The extent of occurrence (EOO) is 1,289 km² and the area of occupancy (AOO) is 24 km².",There appears to be no information available on the population abundance of this species but the species is rare. The current population trend is unknown.,Melitta tomentosa lives in Mediterranean-type shrubby vegetation. Females forage on pollen of Campanulaceae (Gogala 2009).,The threats to this species are unknown.,"There appear to be no direct conservation measures in place, and it is not known if the species is present within any protected areas. Further studies are needed into the abundance and threats to this species.",This species is not utilized.,"Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MELITTIDAE,Melitta,tricincta,,,,0,0,NT,,NT,,"European regional assessment: Near Threatened (NT)EU 27 regional assessment: Near Threatened  (NT)Listed as Near Threatened in view of the small area of occupancy (AOO = 1,076 km²)  and continuing decline in the extent and quality of its habitat and in the number  of mature individuals. Populations in parts of its range are isolated  (e.g. Sweden).",Decreasing,"Melitta tricincta is widespread in Europe, from the United Kingdom eastwards to Kazakhstan, and from Sweden to southern Italy (Warncke 1973, Michez and Eardley 2007, Dellicour and Michez 2010). The extent of occurrence (EOO) is 6,090,311 km² and the area of occupancy (AOO) is 1,084 km².",The abundance and population size of this species are not known and it is considered rare over much of its range. However the habitat supporting strong populations of the host-plant of Melitta tricincta (Odontites spp.) is declining.,"Melitta tricincta lives in Mediterranean-type shrubby and temperate grassland vegetation. Females forage on pollen of Odontites vernus and O. lutea (Orobanchaceae) (Celary 2005, Michez et al. 2008). They nest in soil.",The main threat to this species is the decline of the its host-plant (Odontites spp.) due to land use change.,"Melitta tricincta is regarded as Near Threatened in Germany (Westrich et al. 2008), Vulnerable in the Czech Republic (Farkac et al. 2005), the Netherlands (Peeters and Reemer 2003), Sweden (Gärdenfors 2010) and Switzerland (Amiet 1994), and Endangered in Slovenia (Anonymous 2002).  There appear to be no direct conservation measures in place. Further studies are needed into the abundance of this species. The species occurs in protected areas.",This species is not utilized.,"Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MELITTIDAE,Melitta,udmurtica,,,,-1,0,DD,,DD,,"Global and European regional assessment: Data Deficient (DD)EU 27 regional assessment: Data Deficient (DD)  Listed    as Data Deficient in view of the absence of information about   the    population size and trend and the threats affecting the species.   However,    the species has a very restricted distribution with an area of occupancy (AOO)  of 20 km².",Unknown,"Melitta udmurtica is only present in Poland and Russia (Michez and Eardley 2007). This species is only known from four isolated populations. The extent of occurrence (EOO) is 7,506 km² and the area of occupancy (AOO) is 20 km².",There appears to be no information available on the population abundance of this species but the species is rare. The current population trend of this species is unknown.,"Melitta udmurtica lives in temperate grassland vegetation. Females forage on pollen of Fabaceae (Celary 2000, 2005).",The threats to this species are unknown.,"There appear to be no direct conservation measures in place, and it is not known if the species is present within any protected areas. Further studies are needed into the abundance and threats to this species.",This species is not utilized.,"Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Melitturga,caudata,,,,0,0,LC,,LC,,European regional assessment: Least Concern (LC) EU 27 regional assessment: Least Concern (LC)Listed as Least Concern in view of its wide distribution and presumed large overall and stable population.,Stable,"Melitturga caudata is abundant throughout the western Mediterranean. The extent of occurrence (EOO) is 668,327 km² and the area of occupancy (AOO) is 184 km².",This species is abundant throughout its range and its population trend is stable.,"This species is widespread and forages on many plant species, such as on Thymbra capitata, Genista hirsuta and Bituminaria bituminosa (=Psoralea bitumunosa). It prefers edges of crops and roads.","This species is threatened by alteration of the habitat, and elimination of edges in crops and roads.",No direct conservation measures are currently needed for this species.,This species is not traded or exploited commercially.,"Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.","Ortiz Sánchez, F.J. & Patiny, S.,Ortiz Sánchez, F.J. & Patiny, S."
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Melitturga,clavicornis,,,,0,0,NT,,NT,,"European regional assessment: Near Threatened (NT) EU 27 regional assessment: Near Threatened (NT)    Listed as Near Threatened because its area of occupancy (AOO) is 468 km² and there is a continuing decline in the number of mature individuals, thus making the species close to qualifying for a threatened category under Criterion B.  ",Decreasing,"Melitturga clavicornis is abundant in the whole Palearctic region eastwards to Mongolia. The extent of occurrence (EOO) is 5,815,026 km² and the area of occupancy (AOO) is 468 km².",This species is rare throughout its range and its population trend is declining.,"This species is found in crops and road borders and grasslands; it is a spring species. Females forage on Lavandula spp., Anchusa spp., Medicago spp., Onobrychis spp., Vicia spp., etc .",The elimination of flowers from edges of crops and road borders and the inappropriate use of pesticides can pose a threat.,"This species is included in the National Red Lists or Red Data Books of  the following seven European countries: Switzerland (Endangered; Amiet  1994); Czech Republic (Endangered; Farkac et al. 2005); Germany (Regionally  Extinct; Westrich et al. 2008); Latvia (Endangered;  Anonymous  1992); Moldova (Near Threatened; Anonymous 2002); Slovenia (Regionally  Extinct; Anonymous 2002); Ukraine (Vulnerable; Monchenko et al. 2009). Further research is needed into the population size, habitat and ecological requirements and threats to this species.",This species is not traded or exploited commercially.,"Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.","Ortiz Sánchez, F.J. & Patiny, S.,Ortiz Sánchez, F.J. & Patiny, S."
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurginus,romani,,,,0,0,DD,,DD,,"Global and European regional assessment: Data Deficient (DD) EU 27 regional assessment: Data Deficient (DD)Listed as Data Deficient in view of the absence of information on its status, population size and trend, ecological requirements and threats.",Unknown,"Panurginus romani is endemic to Scandinavia. The extent of occurrence (EOO) is 324,205 km² and the area of occupancy (AOO) is 40 km².",There is no information available on the population abundance or trends of this species.,"Reported to be a species of the Taiga. It is probably a polylectic species. In Finland, it is reported to visit Geranium sylvaticum (Geraniaceae) (Söderman and Leinonen 2003). Nilsson (2008) states that the principal forage plant is Rubus idaeus (Rosaceae).",The threats to this species are unknown.,"This species is included in the National Red List of Finland (Least Concern; Rassi et al. 2010). Additional studies are needed into the taxonomy, abundance, trends, general ecology and threats to this species.",This species is not traded or exploited commercially.,"Pauly, A., Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.","Ortiz Sánchez, F.J. & Patiny, S.,Ortiz Sánchez, F.J. & Patiny, S."
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurginus,schwarzi,,,,-1,-1,DD,,DD,,"Listed as Data Deficient in view of the absence of information on its status, population size and trend, ecological requirements and threats.",Unknown,Panurginus schwarzi is recorded from two localities in Greece. The extent of occurrence (EOO) and the area of occupancy (AOO) are 4 km².,Populations are small but there is no information available on the population trend of this species.,There is no information about the habitat and ecology for this species.,The threats to this species are unknown.,"Additional studies are needed into taxonomy, abundance, trends, general ecology and threats to this species.",This species is not traded or exploited commercially.,"Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.","Ortiz Sánchez, F.J. & Patiny, S.,Ortiz Sánchez, F.J. & Patiny, S."
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurginus,sericatus,,,,-1,0,DD,,DD,,"Global and European regional assessment: Data Deficient (DD)EU 27 regional assessment: Data Deficient (DD)Listed as Data Deficient in view of the doubts about its taxonomy, and the absence of information on its status, population size and trend, ecological requirements and threats.",Unknown,"Panurginus sericatus is mainly distributed in the Alps (Patiny 2003). After the work of several reviewers, some taxonomic confusion could exist regarding this species,  and therefore review of the species status is needed. The extent of occurrence (EOO) is 200,220 km² and the area of occupancy (AOO) is 44 km².",Populations are small but there is no information available on the population trends of this species.,There is no information about the habitat and ecology for this species.,The threats to this species are unknown.,"Additional studies are needed into taxonomy, abundance, trends, general ecology and threats to this species.",This species is not traded or exploited commercially.,"Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.","Ortiz Sánchez, F.J. & Patiny, S.,Ortiz Sánchez, F.J. & Patiny, S."
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurginus,tyrolensis,,,,-1,0,DD,,DD,,"Global and European regional assessment: Data Deficient (DD) EU 27 regional assessment: Data Deficient (DD)Listed as Data Deficient in view of the very few records that exist for this species and the absence of information on the general status, population size and trend.",Unknown,"This species is distributed in the Alps and its presence in Macedonia is uncertain (Patiny 2001). The extent of occurrence (EOO) is 5,192 km² and the area of occupancy (AOO) is 12 km².",This species is locally abundant and its population trend is unknown.,This species inhabits alpine grasslands.,This species is threatened by changes in agricultural practices. Climate change is also likely to threaten the species through causing shifts and alterations to the habitat.,It is recommended that research is carried out to study the population size and trend as well as the general status of this species.,This species is not utilized.,"Pauly, A., Michez, D. & Nieto, A.","Roberts, S. & Bilz, M.",
