Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxonomic Authority,European regional Red List Category,Endemic to Europe,European regional Red List Criteria,EU28 regional Red List Category,EU28 regional Red List Criteria,Endemic to EU28,Population Trend,Red List Assessors,Red List Contributors,Red List Reviewers,Taxonomic Notes,Rationale of the Red List Category,Population,Range,Habitat,Use and Trade,Threats,Conservation Actions
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Stenobothrus,clavatus,"Willemse, 1979",EN,Yes,"B1ab(iii,v)+2ab(iii,v)",EN,"B1ab(iii,v)+B2ab(iii,v)",No,Decreasing,"Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Danielczak, A., Szovenyi, G. & Puskas, G.","Bushell, M., Cálix, M. & Nieto, A.",,"Global and European regional assessment: Endangered (EN)EU 28 regional assessment: Endangered (EN)The Club Toothed Grasshopper (Stenobothrus clavatus) occurs in Greece, where it is found on two mountains at the western edge of the Pindos mountain range, and it also occurs in Albania. In Europe, this species is assessed as Endangered since it has a restricted geographic range (extent of occurrenceis between 840 and 1,500 km²,and area of occupancy is between 12 and 50 km²), it occurs at only three locations, and there is an inferred continuing decline in the number of mature individuals and in the area, extent and quality of habitat due to livestock grazing and quarrying. In the EU 28, this species is also assessed as Endangered, since it has a restricted geographic range (EOO isca 170 km² and theAOO is between 8 and 30 km²), it occurs at only two locations, and a continuing decline is inferred in the number of mature individuals and the area, extent and quality of the habitat. In order to protect this species, its habitat needs to be protected and appropriate management (particularly in terms of grazing) needs to be implemented.",There is no available information on the population size and the population trend of this species. A continuing decline in the quality of habitat as well as the number of mature individuals is inferred as a result of grazing activities.,"The Club Toothed Grasshopper occurs in Greece, where it is found on two mountains (Mts. Tomaros and Xerovouni) at the western edge of the Pindos mountain range (Willemse 1984, Willemse and Willemse 2008). It also occurs in Albania (Griba Mts.) (G. Puskás pers. comm. 2015). This species' extent of occurrence (EOO) in Europe is ca 840 km² (with an upper estimate of1,500 km²), and ca 170 km² in the EU 28. Its area of occupancy (AOO) in Europe is between 12 and 50 km², and between 8 and 30 km² in the EU 28.","This species is found on open sunny mountain slopes between 1,200 and 1,700 m asl. The habitat is dry and stony ground with sparse vegetation.",The species is in no way used or traded.,"Like other mountains, Mts. Tomaros, Xerovouni and Griba Mts. are used for grazing in the summer, although the extent of the grazing is unknown. On Mt. Tomaros there are signs that mining activities took place. Taking into account the extent of the effects of grazing and the distribution of this species it is considered to occur at three locations in Europe and at two locations in the EU 28.","No conservation measures are in place for this species, and it is not found in any protected areas. Further research into the population size and trend, and into the threats to this species is required. Its habitat needs to be protected and appropriate management (particularly in terms of grazing) needs to be implemented."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Stenobothrus,graecus,"Ramme, 1926",EN,No,"B2ab(iii,v)",EN,"B2ab(iii,v)",No,Decreasing,"Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Danielczak, A.","Bushell, M., Cálix, M. & Nieto, A.",,"European regional assessment: Endangered (EN)EU 28 regional assessment: Endangered (EN)The Greek Toothed Grasshopper (Stenobothrus graecus) occurs in Greece, the Former Yugoslav Republic of Macedonia (FYR Macedonia), Kosovo and Turkey. In Greece, it is found in mountains from Mt. Parnassos in the north on the Greek mainland to Mt. Taygetos in the South of the Peloponnesus. This species is assessed as Endangered since it has a restricted geographic range (maximum area of occupancy (AOO) is 100 km²), the population is severely fragmented, and there is an inferred continuing decline in the number of mature individuals and in the area, extent and quality of the habitat due to touristic development. Further research is needed into the population size, distribution and trend. An appropriate (extensive) grazing regime needs to be implemented in order to avoid any future population declines",It is assumed that this species is decreasing due to the ongoing threats (such as touristic development and grazing). The subpopulations are isolated with no or little genetic exchange between them and this species is therefore considered as severely fragmented.,"The Greek Toothed Grasshopper occurs in Greece, the Former Yugoslav Republic of Macedonia (FYR Macedonia), Kosovo and Turkey (Willemse 1974). In Greece, it is found in mountains from Mt. Parnassos in the north on the Greek mainland to Mt. Taygetos in the south of the Peloponnesus (Willemse 1984, Willemse and Willemse 2008). This species' extent of occurrence (EOO) in Europe is  ca 23,000 km², and ca 7,000 km² in the EU 28 region. The maximum area of occupancy (AOO) is estimated to be 100 km².","This species prefers sunny slopes with stony ground and sparse, to not too dense vegetation of grasses and herbs. It is found at elevations of 600-2,200 m Asl.",The species is in no way used or traded.,"In some mountains touristic development takes place (winter-sport facilities), which negatively affect this species. The mountains where this species is found are used in summer for grazing, and any changes to the grazing regime (abandonment, intensification) may negatively influence the population trend.","No conservation measures are in place for this species, but it occurs in protected areas. Further research is needed into the population size, distribution and trend. An appropriate (extensive) grazing regime needs to be implemented in order to avoid any future population declines"
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Tropidopola,graeca,"Uvarov, 1926",VU,No,"B2ab(iii,v)",VU,"B2ab(iii,v)",No,Unknown,"Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Danielczak, A. & Puskas, G.","Bushell, M., Cálix, M. & Nieto, A.",,"European regional assessment: Vulnerable (VU)EU 28 regional assessment: Vulnerable (VU)The Greek Cylindric Grasshopper (Tropidopola graeca) is known from quite a large area within Europe including Italy, Greece and Cyprus, as well as Albania. This species is assessed as Vulnerable since it has a restricted area of occupancy (AOO) (less than 2,000 km²), the population is severely fragmented, and there is an inferred continuing decline in the number of mature individuals and in the quality and extent of its' habitat, due to residential and commercial development. Further research into the population size and trend of this species is required. The habitat of this species needs to be protected, as it is often found close to human settlements. In addition, lost habitat needs to be restored and appropriate water management is needed.","There is no available information on the total number of individuals of this species nor on its population trend. It is found in very localized habitats, and the population is inferred to be undergoing a continuing decline as a result of coastal development and habitat loss. The subpopulations are isolated with no or little genetic exchange between them and this species is therefore considered as severely fragmented.","The Greek Cylindric Grasshopper is found in western and southern Turkey, Albania (G. Puskas pers. comm 2015), Italy (La Greca 1964), Greece (Willemse 1984), and Cyprus (Tumbrinck 2006). In Europe, this species' extent of occurrence (EOO) is ca 400,000 km², and its area of occupancy (AOO) is less than 2,000 km².","This species is found in lowland areas such as river deltas, and marshy wetlands adjoining the sea, where it hides among stands of caned reeds, but also  in reed vegetation at a site (in Greece) which is waterlogged during Winter and dries up during Summer.",The species is in no way used or traded.,"This species is often found near the sea, in river delta areas often close to human settlements. Residential and commercial development therefore is considered a possible threat for this species. Water management next to the wetlands can also affect this species.","No conservation measures are in place for this species, but it is found in protected areas. Further research into the population size and trend of this species is required. The habitat of this species needs to be protected, as it is often found close to human settlements. In addition, lost habitat needs to be restored and appropriate water management is needed."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Tropidopola,longicornis,"(Fieber, 1853)",EN,No,"B1ab(ii,iii,iv)+2ab(ii,iii,iv)",EN,"B1ab(ii,iii,iv)+B2ab(ii,iii,iv)",No,Decreasing,"Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Danielczak, A.","Bushell, M., Cálix, M. & Nieto, A.",,"European regional assessment: Endangered (EN)EU 28 regional assessment: Endangered (EN)The Long-horned Cylindric Grasshopper (Tropidopola longicornis) is widespread across northern Africa, the Middle East and Turkey. In Europe, this species is confined to Crete. This species is assessed as Endangered since it has a restricted geographic range (extent of occurrence (EOO) is ca 1,800 km², area of occupancy (AOO) is ca 50 km²), it occurs at only three locations and there is an inferred continuing decline in the AOO, number of locations, and in the extent and quality of habitat due to its proximity to urban areas (areas of residential and commercial development). Further research into the population size, distribution and trend of this species is required. The habitat of this species also needs to be protected and lost habitat needs to be restored.","There is no available information on the population size and the population trend of this species, but it is inferred to be undergoing a continuing decline as a result of commercial and urban development.","The Long-horned Cylindric Grasshopper is widespread across northern Africa, the Middle East and Turkey. In Europe, this species is confined to Crete (Willemse and Kruseman 1976, Willemse 1984). This species' extent of occurrence (EOO) is ca 1,800 km², and its area of occupancy (AOO) is ca 50 km².","This species is found in lowland areas, such as river deltas and marshy wetlands adjoining the sea, where it hides among stands of caned reeds. It is found at elevations of 5-50 m Asl.",The species is in no way used or traded.,"This species is found near the sea in river delta areas, often close to human settlements. Residential and commercial development therefore are considered a possible threat for this species. Taking into account the extent of the effects of these threats and the distribution of this species, it is considered to occur at three locations.","No conservation measures are in place for this species, and it is not found in any protected area. Further research into the population size, distribution and trend of this species is required. The habitat of this species also needs to be protected and lost habitat needs to be restored."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Xerohippus,azami,"(Bolívar, 1901)",DD,Yes,,DD,,Yes,Unknown,"Willemse, L.P.M., Hochkirch, A., Tzirkalli, E., Kati, V., Papapavlou, K. & Heller, K.-G.","Danielczak, A.","Bushell, M., Cálix, M. & Nieto, A.","There have been three species of Desert Grasshoppers described from Cyprus, all three of them endemic to Cyprus. The distinction between the three species is not clear which makes an assessment of these species impossible. Consequently, the assessment for","The Azam's Desert Grasshopper (Xerohippus azami) is endemic to Cyprus and has not been recorded since 1935. Given that three species of Desert Grasshoppers have been described from Cyprus and the distinction between them is not clear, all three species, including this one, are assessed as Data Deficient based on the uncertain taxonomy which needs to be reviewed. Very little is known about this species, and further research is required into the threats to this species, and into the population size and trend.",There is no available information on the population size and the population trend of this species.,"The Azam's Desert Grasshopper is endemic to Cyprus (Harz 1975, Tumbrinck 2006). This species' extent of occurrence (EOO) is 48 km², and it has not been recorded since 1935.","Desert Grasshoppers prefer hot, arid places with various types of vegetation.",The species is in no way used or traded.,"Like for other species that live in the dry arid parts of Cyprus, bushfires are the most likely threat.","No conservation measures are in place for this species and it is unknown, whether it occurs in any protected areas. A thorough taxonomic review of the status of the three Cyprian endemic species of Desert Grasshoppers is needed. Further research into the population size and trend, and the threats to this species is required."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Xerohippus,cyprius,"Uvarov, 1942",DD,Yes,,DD,,Yes,Unknown,"Willemse, L.P.M., Hochkirch, A., Tzirkalli, E., Kati, V., Papapavlou, K. & Heller, K.-G.","Danielczak, A.","Bushell, M., Cálix, M. & Nieto, A.","There have been three species of Desert Grasshoppers described from Cyprus, all three of them endemic to Cyprus. The distinction between the three species is not clear which makes an assessment of these species impossible. Consequently, the assessment for","The Cyprian Desert Grasshopper (Xerohippus cyprius) is endemic to Cyprus. Given that three species of Desert Grasshoppers have been described from Cyprus and the distinction between them is not clear, all three species, including this one, are assessed as Data Deficient based on the uncertain taxonomy which needs to be reviewed. Very little is known about this species, and further research is required into the threats to this species, and into the population size and trend.",There is no available information on the population size and the population trend of this species.,"The Cyprian Desert Grasshopper is endemic to Cyprus (Harz 1975, Tumbrinck 2006). This species' extent of occurrence (EOO) is ca 3,500 km².","Desert Grasshoppers prefer hot, arid places with various types of vegetation.",The species is in no way used or traded.,"Like for other species that live in the dry arid parts of Greece, bushfires are the most likely threat.","No conservation measures are in place for this species and it is unknown, whether it occurs in any protected areas. A thorough taxonomic review of the status of the three Cyprian endemic species of Desert Grasshoppers is needed. Further research into the population size and trend, and the threats to this species is required."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Xerohippus,sinuosus,"Uvarov, 1942",DD,Yes,,DD,,Yes,Unknown,"Willemse, L.P.M., Hochkirch, A., Tzirkalli, E., Kati, V., Papapavlou, K. & Heller, K.-G.","Danielczak, A.","Bushell, M., Cálix, M. & Nieto, A.","There have been three species of Desert Grasshoppers described from Cyprus, all three of them endemic to Cyprus. The distinction between the three species is not clear which makes an assessment of these species impossible. Consequently, the assessment for","The Small Desert Grasshopper (Xerohippus sinuosus) is endemic to Cyprus. Given that three species of Desert Grasshoppers have been described from Cyprus and the distinction between them is not clear, all three species, including this one, are assessed as Data Deficient based on the uncertain taxonomy, which needs to be reviewed. Very little is known about this species, and further research is required into the population size and trend, the species' ecology, and the threats to it.",There is no available information on the population size and the population trend of this species.,"The Small Desert Grasshopper is endemic to Cyprus (Harz 1975, Tumbrinck 2006). This species' extent of occurrence (EOO) could not be calculated as there are only two known localities. Since 1937 the species has not been recorded.","Desert Grasshoppers prefer hot, arid places with various types of vegetation.",The species is in no way used or traded.,"Like for other species that live in the dry arid parts of Greece, bushfires are probably the most likely threat.","No conservation measures are in place for this species and it is unknown, whether it occurs in any protected areas. A thorough taxonomic review of the status of the three Cyprian endemic species of Desert Grasshoppers is needed. Further research into the population size and trend, ecology and the threats to this species is required."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Xerohippus,solerii,"(Jannone, 1936)",NT,Yes,,NT,,Yes,Unknown,"Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Danielczak, A.","Bushell, M., Cálix, M. & Nieto, A.",,"The Aegean Desert Grasshopper (Xerohippus solerii) is endemic to Greece, and has only been recorded in Rodhes, Kos and Nisyros. This species is assessed as Near Threatened since it has a restricted geographic range (extent of occurrence (EOO) is ca 1,700 km²), and occurs at between eight and ten locations - thus making it close to qualifying for a threatened category under criterion B. Very little is known about this species, and further research into the population size and trend, ecology and the threats to this species is required.",There is no available information on the population size and the population trend of this species. It is a rare  and difficult to find species.,"The Aegean Desert Grasshopper is endemic to Greece, and has only been recorded in Rodhes, Kos and Nisyros (Jannone 1936, Willemse 1984). This species' extent of occurrence (EOO) is ca 1,700 km².","Desert Grasshoppers prefer hot, arid places with various types of vegetation.",The species is in no way used or traded.,"Very little is known about this species including its threats. Like for other species that live in the dry arid parts of Greece, bushfires are the most likely threat. Taking into account the extent of the effects of bushfires and the distribution of this species, it is estimated to occur at between eight and ten locations.","No conservation measures are in place for this species, but it is found in protected areas in all three islands where it is present. Further research into the population size and trend, ecology and the threats to this species is required."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,GRYLLIDAE,Gryllomorpha,miramae,"Medvedev, 1933",LC,No,,NT,,No,Unknown,"Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Danielczak, A.","Bushell, M., Cálix, M. & Nieto, A.","The genus Gryllomorpha has been revised by Gorrochov (2009). In this publication he place Gryllomorpha guentheri as a subspecies under G. miramae. G. miramae therefore is a species with two subspecies, the nominate subspecies and G. miramae guentheri. Cho","European regional assessment: Least Concern (LC)EU 28 regional assessment: Near Threatened (NT)The Eastern Crevice-cricket (Gryllomorpha miramae) is known from Kazakhstan and Uzbekistan, the Ukraine and southern Russia, as well as Greece and Bulgaria. For the EU 28 region, only three localities are known, one from the northeastern part of the Greek mainland and two from Bulgaria. In Europe, this species is assessed as Least Concern since it has a wide geographic range (extent of occurrence (EOO) is ca 480,000 km²) and the population is unlikely to be declining fast enough for listing in a threatened category. In the EU 28 region, this species is assessed as Near Threatened since it has a restricted geographic range (EOO is ca 12,500 km²), and the population is severely fragmented - thus making it close to qualify for listing in a threatened category under criterion B. Further research is needed into the population size and distribution of this species (especially in Greece and Bulgaria), as well as into its ecology and threats.","There is no available information on the population size and the population trend of this species. In the EU 28 region, the subpopulations are isolated with no or little genetic exchange between them and this species is therefore considered as severely fragmented.","The Eastern Crevice-cricket is known from Kazakhstan and Uzbekistan, the Ukraine  (Odessa, Crimea, Melitopol) and southern Russia (Rostov, Astrakan) (Gorochov 2009), as well as Greece and Bulgaria (Willemse 1984, Chobanov 2003). This species' extent of occurrence (EOO) in Europe is ca 480,000 km². For the EU 28 region, only three localities are known, one from the northeastern part of the Greek mainland and two from Bulgaria (Willemse 1984, Chobanov 2003). Its extent of occurrence (EOO) in the EU 28 region is ca 12,500 km², but given that this is a rather cryptic, night active species, its EOO may be larger.","Species of Gryllomorpha are found in various types of habitats. In Bulgaria, this species was collected in pitfall traps in a Quercus coccifera community and under a stone (Chobanov 2003). This species is active at night.",The species is in no way used or traded.,Nothing is known about threats that might affect this species or its ecosystem.,"No conservation measures are in place for this species, although it is found in at least one protected area. Further research is needed into the population size and distribution (especially in Greece and Bulgaria), as well as into its ecology and threats."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,GRYLLIDAE,Modicogryllus,cyprius,"(Saussure, 1877)",LC,Yes,,LC,,Yes,Unknown,"Willemse, L.P.M., Hochkirch, A., Tzirkalli, E., Kati, V., Papapavlou, K. & Heller, K.-G.","Danielczak, A.","Bushell, M. & Cálix, M.",,"The Cyprian Stripe-headed Cricket (Modicogryllus cyprius) is endemic to Cyprus. This species is assessed as Least Concern since although it has a restricted geographic range (extent of occurrence (EOO) is 515 km²), the overall population size is presumably large. Further research is needed on this species, particularly into the population size and trend, its ecology and threats.",There is no available information on the population size and the population trend of this species.,The Cyprian Stripe-headed Cricket is endemic to Cyprus (Tumbrinck 2006). This species' extent of occurrence (EOO) is 515 km².,"This species has mainly been found under stones in pine forests. One finding high up on Mt. Troodos was in an open valley, on open rocky ground with rather sparse vegetation. The species was also found underneath a rock next to the dried up brooklet, and it can be found at elevations of up to 1,800 m Asl.",The species is in no way used or traded.,The major threats to this species are wildfires and infrastructural development. One locality is in an area where a skiing centre has been built.,"No conservation measures are in place for this species, but it occurs in protected areas. Further research is needed on this species, particularly into the population size and trend, its ecology and threats."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,GRYLLOTALPIDAE,Gryllotalpa,krimbasi,"Baccetti, 1992",LC,Yes,,LC,,Yes,Decreasing,"Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Danielczak, A.","Bushell, M., Cálix, M. & Nieto, A.","This species was described from the eastern Aegean island of Kos (Baccetti 1992). Baccetti described this species on the basis of the studies of Krimbas (1956a, 1956b, 1960), who found two Gryllotalpa species with different chromosome numbers in Greece. G","The Krimbas' Mole-cricket (Gryllotalpa krimbasi) is endemic to Greece, where it is found across the mainland, the Peloponnesus, the Ionian island of Ithaki, and the eastern Aegean islands of Kos and Rodhes. This species is assessed as Least Concern since it has a large geographic range (extent of occurrence (EOO) is ca 174,000 km²), and the overall population size is presumably large. However, there is a continuing decline in the extent and quality of its habitat, and the population is probably also declining due to the use of pesticides. Further research is needed into its population size and trend, and this species' area of occupancy needs to be determined.",There is no available information on the population size and the population trend. A continuing decline in the population is inferred as a result of water management activities and active pest control in the areas where it occurs.,"The Krimbas' Mole-cricket is endemic to Greece, where it is found across the mainland, the Peloponnesus, the Ionian island of Ithaki, and the eastern Aegean islands of Kos and Rodhes (Baccetti 1992, Willemse 1984, Willemse and Willemse 2008). This species' extent of occurrence (EOO) is ca 174,000 km².",Mole-crickets live in the soil and are found in places with loose and soft earth situated around or in marshy areas.,The species is in no way used or traded.,"As it prefers wet places, any measures which result in water extraction from, or flooding of, an area where Mole-crickets live will have an adverse effect on the subpopulation in that area, apart from the use of water for agricultural purposes. Gryllotalpa species are also threatened by pesticides, as they sometimes can become pests. The main pesticide used to control them is Chlorpyrifos.","No conservation measures are in place for this species, but it is found in protected areas. Further research is needed into its population size and trend."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,MOGOPLISTIDAE,Mogoplistes,kinzelbachi,"Harz, 1976",DD,Yes,,DD,,Yes,Unknown,"Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Danielczak, A.","Bushell, M., Cálix, M. & Nieto, A.",,"The Kinzelbach's Scale-cricket (Mogoplistes kinzelbachi) is endemic to Greece, and up to now is only known from the Aegean island of Karpathos. This species was collected with traps in 1963, and has not been recorded again since then. This species is assessed as Data Deficient in view of the absence of sufficient information on its distribution, natural history, threats and conservation status. Further research into the population size and trend, as well as into this species' ecology is required.",There is no available information on the population size and the population trend.,"The Kinzelbach's Scale-cricket is endemic to Greece, and up to now is only known from the Aegean island of Karpathos (Willemse 1984). This species was collected with traps in 1963, and has not been recorded again since then. This species is only known from one locality.",There is no available information on the habitat of the species.,The species is in no way used or traded.,The threats to this species are unknown.,"No conservation measures are in place for this species, and it is not found in any protected areas. Further research into the population size and trend, as well as into this species' ecology is required."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PAMPHAGIDAE,Glyphanus,obtusus,"Fieber, 1853",EN,Yes,"B2ab(i,ii,iii,iv,v)",EN,"B2ab(i,ii,iii,iv,v)",Yes,Decreasing,"Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Danielczak, A. & Pfeifer, M.A.","Bushell, M., Cálix, M. & Nieto, A.",,"The Parnassos Stone Grasshopper (Glyphanus obtusus) is endemic to Greece, and has only been reported from the southeastern part of the Greek mainland and the adjoining northern part of the Peloponnesus. Currently, the presence of the species has been confirmed from three spots only, two around Mt. Parnassos and one southwest of Athens. This species is assessed as Endangered since it has a restricted geographic range (area of occupancy is estimated to be between 40 and 400 km²), the population is severely fragmented and there is an inferred continuing decline in this species' extent of occurrence, area of occupancy, extent and quality of its habitat, number of subpopulations, and in the number of mature individuals due to urbanization and overgrazing. The area of one site where the species still occurs has been significantly reduced by urbanization due to the building of a winter-sport village. A study to collect more information on the population size, the trends in population size and its distribution pattern is needed. Research to make an objective assessment of the threats that this species faces is needed as well, and the known subpopulations of this species should be monitored. Proper management of the touristic activities and grazing is required, and site protection should be considered as means of protecting this grasshopper.","For most sites from where this species has been reported, only a single observation/collection exists. There are only three sites where this species has been found at various occasions during the past 40 years. On Mt. Parnassos, a winter-sport village was built on top of one of the known localities. The Pamphagidae, the family to which this species belongs, are known to have very small subpopulations with very low detection rates. The subpopulations of this species are isolated with no or little genetic exchange between them and it is therefore considered as severely fragmented. A continuing decline in the population size is inferred due to habitat loss.","The Parnassos Stone Grasshopper is endemic to Greece, and has only been reported from the southeastern part of the Greek mainland and the adjoining northern part of the Peloponnesus (Willemse 1984, Willemse and Willemse 2008). Currently, the presence of the species has been confirmed from only three spots, two around Mt. Parnassos and one southwest of Athens. This species' extent of occurrence (EOO) has been estimated at ca 9,200 km², and its area of occupancy (AOO) is estimated to be between 40 and 400 km².","The habitat where this species is found on Mt. Parnassos consists of open rocky slopes and flat areas covered with a sparse vegetation of herbs and grasses interspersed with some bushes like Juniperus. There is no available information on the habitat at the other sites where this species has been found; it is found at elevations of 300-1,200 m asl.",This species is not utilized.,"The hill and mountain slopes where this species is found are used for livestock grazing. Grazing poses a potential threat to the habitat but its impact on the species is unknown. Mt. Parnassos is used for skiing in the winter - the effect of all development activities taking place to sustain this touristic activity can be very serious: in the plateau on Mt. Parnassos above Arachova, a winter-sport village was build on top of a subpopulation of this species in the 1970s to 1990s. In the Athens region, it was probably also affected by urbanization in the past.","Currently, no conservation measures are in place for this species, but it is found in protected areas throughout its range. Likewise, there are no conservation plans drawn up. A study to collect more information on the population size, the trends in population size and its distribution pattern are needed. Research to make an objective assessment of the threats that this species faces is needed as well, and the known subpopulations of this species should be monitored. Proper management of the touristic activities and grazing is required, and site protection should be considered as means of protecting this grasshopper."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PAMPHAGIDAE,Glyphotmethis,heldreichi,"(Brunner von Wattenwyl, 1882)",NT,Yes,,NT,,No,Unknown,"Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Danielczak, A.","Bushell, M., Cálix, M. & Nieto, A.",,"Global and European regional assessment: Near Threatened (NT)EU 28 regional assessment: Near Threatened (NT)The Heldreich's Stone Grasshopper (Glyphotmethis heldrichi) is found in Greece and the Former Yugoslav Republic of Macedonia (FYR Macedonia). Within the EU 28 region, this species is only found in Greece, where it is found in the eastern part of the mainland. This species is assessed as Near Threatened since it has a restricted geographic range (area of occupancy (AOO) is estimated to be less than 2,000 km²), and the population is severely fragmented - thus being close to qualifying for a threatened category under criterion B. In Greece, this species is affected by the intensification of agricultural practices and grazing, and further research is needed into its distribution and population trend.","There is no available information on the population size and the population trend. The Pamphagidae, the family to which this species belongs, are known to have subpopulations which are very low in numbers. The subpopulations of this species are isolated with no or little genetic exchange between them and it is therefore considered as severely fragmented.","The Heldreich's Stone Grasshopper is found in Greece and the Former Yugoslav Republic of Macedonia (FYR Macedonia) (Chobanov  and Mihajlova 2010). This species' extent of occurrence (EOO) is ca 50,000 km², and its area of occupancy (AOO) is estimated to be less than 2,000 km². Within the EU 28 region, this species is only found in Greece, where it is found in the eastern part of the mainland (Willemse 1984, Willemse and Willemse 2008). Its extent of occurrence (EOO) in this region is ca 42,000 km².","This flightless species prefers open sunny hills, with a varying amount of rock cover and a sparse to more dense herbal vegetation. It is also present in agricultural areas.",The species is in no way used or traded.,"The hills where this species is found are used for grazing livestock. Grazing poses a potential threat to the habitat, but the impact on the species is still unknown. Agricultural intensification and insecticide use may also pose a threat to this species.","Currently no conservation measures are in place for this species, but it is found in protected areas. Further research is needed into the distribution and population trend of this grasshopper."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PAMPHAGIDAE,Orchamus,gracilis,"(Brunner von Wattenwyl, 1882)",EN,Yes,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",EN,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",Yes,Decreasing,"Willemse, L.P.M., Hochkirch, A., Tzirkalli, E., Kati, V., Papapavlou, K. & Heller, K.-G.","Danielczak, A.","Bushell, M., Cálix, M. & Nieto, A.",,"The Slender Stone Grasshopper (Orchamus gracilis) is probably endemic to Cyprus. This species is assessed as Endangered since it has a restricted geographic range (extent of occurrence (EOO) is 4,875 km², and area of occupancy (AOO) is between 48 and 500 km²), the population is severely fragmented, and there is an inferred continuing decline in the AOO, the number of subpopulations, the extent and quality of its habitat, as well as in the number of mature individuals due to bushfires. Stone Grasshoppers are difficult to monitor due to low population densities, and further research into the population size, distribution and trends, as well as its life history, is required. In addition, proper fire management is needed to prevent future population declines, and the development of new wind parks should only be carried out after appropriate environmental impact assessments.","There is no available information on the total number of individuals of this species nor about its population trend. For most sites from where the species has been reported only a single observation/collection exists. The Pamphagidae, the family to which this species belongs, are known to have subpopulations which are very low in numbers. Orchamus is no doubt the most extreme genus in this respect. Finding more than one specimen at any one site is the exception rather than the rule. The subpopulations are isolated with no or little genetic exchange between them and this species is therefore considered as severely fragmented. As a result of wildfires, the species is undergoing a continuing decline.","The Slender Stone Grasshopper is probably endemic to Cyprus (Massa 2009). This species' extent of occurrence (EOO) is 4,875 km², and its area of occupancy (AOO) is between 48 and 500 km².","No information is given in the literature about the habitats where this species is found. The single specimen collected near Xandria was found on an open hill covered with low Cistus bushes. Orchamus species have often been associated with open pine forests with an undergrowth of grass and herbs and small bushes, a habitat which is very common across Mt. Troodos in Cyprus. It can by found in phryganic habitats in the lowlands. This species is found up to 1,350 m asl.",The species is in no way used or traded.,"As the species occurs in habitats close to or within open pine forests, it is liable to bushfires. The establishment of wind farms may also affect this species as a result of infrastructure construction.","No specific conservation measures are in place for this species, but it is found in protected areas throughout its range. Further research into the population size, distribution and trends, as well as its life history is required. In addition, proper fire management is needed to prevent future population declines, and the development of new wind parks should only be carried out after appropriate environmental impact assessments."
